,title,artist,producer,streams,album_sales,bpm,gender,time_signature,fanbase,song_length,instrument_number,key,release_year,use_in_media,pop,rock,rap,country,hip_hop,alt.,reggae,r&b,sad,happy,angry,desperatation,hopeful,fearful,ashamed,romantic,grammy,vma,billboard_music_award,ama,mtv
SONG72,The Sign ,Ace of Base,"Berggren, Denniz Pop, Douglas Carr","320,461,134",23,97,9,7,10329499,190,5,E,1993,4,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SONG73,The Boy is Mine ,Brandy and Monica,"Darkchild, Brandy, Dallas Austin","283,020,854",5,93,2,7,7844975,290,5,D♭,1998,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
SONG74,Get busy,Sean Paul,Steven Marsden,"582,752,986",3,100,2,7,34331812,211,5,B♭,2003,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
SONG75,Can't stop the feeling ,Justin Timberlake,"Timberlake, Martin, Shellback","1,794,521,547",7,113,2,7,40103364,236,6,C,2016,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG76,Shake ya Tailfeather ,"Nelly, P. Diddy, and Murphy Lee","Nelly & Jayson ""Koko"" Bridges","148,203,674",6,97,2,7,19523135,262,5,D♭,2003,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
SONG77,Cheap Thrills ,Sia ft. Sean Paul,Greg Kurstin,"1,824,493,758",1,90,9,7,57307649,211,5,G♭,2016,6,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
SONG78,Kiss from a Rose,Seal,Trevor Horn,"466,460,898",6,132,2,4,4890395,288,5,B♭,2005,14,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0
SONG79,Inside your heaven ,Carrie Underwood,Desmond Child,"6,652,105",8,135,1,7,10795121,220,5,G,2000,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SONG80,Everything You Want,Vertical Horizon ,"Mark Endert, Ben Grosse","111,724,924",7,94,9,7,985228,276,5,E♭,2015,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
SONG81,Can't Feel My Face,The Weekend ,"Max Martin, Ali Payami","1,822,614,058",3,108,2,7,120693473,215,5,A,2002,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SONG82,Foolish ,Ashanti,Irv Gotti,"380,025,367",3,90,1,7,6491461,223,5,D♭,1995,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SONG83,Exhale,Whitney houston ,Babyface,"36,099,449",45,138,1,7,25853889,210,5,A♭,1997,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
SONG84,I'll be Missing you,Diddy and Faith Evans,"Puff Daddy, Stevie J","615,690,253",7,110,9,7,12790249,253,6,E♭,2010,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
